"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1007","get started link","firefox","Mon Sep 15 10:11:49 UTC 2025","passed","Mon Sep 15 10:11:50 UTC 2025","","example.spec.js","",""
"","355","has title","chromium","Mon Sep 15 10:11:46 UTC 2025","passed","Mon Sep 15 10:11:46 UTC 2025","","example.spec.js","",""
"","1184","has title","webkit","Mon Sep 15 10:11:51 UTC 2025","passed","Mon Sep 15 10:11:53 UTC 2025","","example.spec.js","",""
"","1411","has title","firefox","Mon Sep 15 10:11:47 UTC 2025","passed","Mon Sep 15 10:11:49 UTC 2025","","example.spec.js","",""
"","544","get started link","chromium","Mon Sep 15 10:11:46 UTC 2025","passed","Mon Sep 15 10:11:47 UTC 2025","","example.spec.js","",""
"","2004","get started link","webkit","Mon Sep 15 10:11:53 UTC 2025","passed","Mon Sep 15 10:11:55 UTC 2025","","example.spec.js","",""
